OpenTime,Open,High,Low,Close,Volume,SMA_10,RSI,MACD,MACD_Signal
06/05/2024,64012,65500,62700,63165.19,34674.91949,62249.542,39.1636,-951.38421,-1098.642989
07/05/2024,63165.18,64422.41,62261,62312.08,25598.79472,62134.552,38.15038,-930.23495,-1064.961382
08/05/2024,62312.07,63020.22,60888,61193.03,26121.19004,61941.993,40.50303,-992.333,-1050.435705
09/05/2024,61193.03,63429.03,60630,63074.01,30660.8061,61862.794,46.03805,-879.62699,-1016.273961
10/05/2024,63074,63469.13,60187.12,60799.99,36529.34025,61875.593,42.39268,-962.70362,-1005.559894
11/05/2024,60799.99,61515,60487.09,60825.99,13374.56936,62121.695,43.14928,-1014.7471,-1007.397335
12/05/2024,60825.99,61888,60610,61483.99,12753.13236,62364.033,45.82009,-991.46781,-1004.211429
13/05/2024,61484,63450,60749.21,62940.08,32733.41839,62369.84,47.71515,-845.77494,-972.5241302
14/05/2024,62940.09,63118.36,61142.77,61577.49,29088.72041,62138.385,52.45647,-830.68628,-944.1565597
15/05/2024,61577.49,66444.16,61319.47,66206.5,43559.74719,62357.835,68.8928,-440.13241,-843.3517308
16/05/2024,66206.51,66752.01,64602.77,65235.21,31106.3671,62564.837,64.68162,-206.60899,-716.0031827
17/05/2024,65235.21,67451.2,65106.38,67024,26292.23409,63036.029,60.90242,121.40097,-548.5223512
18/05/2024,67024,67400.01,66600,66915.2,14441.25774,63608.246,58.35381,368.32615,-365.152651
19/05/2024,66915.2,67700,65857.25,66274.01,18025.30409,63928.246,56.07553,506.43954,-190.8342136
20/05/2024,66274,71515.56,66060.31,71446.62,50816.7011,64992.909,68.04899,1021.5065,51.63392842
21/05/2024,71446.62,71979,69162.94,70148.34,49607.4336,65925.144,66.75367,1309.84139,303.275421
22/05/2024,70148.34,70666,68842.19,69166.62,27673.18026,66693.407,67.14797,1442.50399,531.1211339
23/05/2024,69166.62,70096.12,66312.16,67969.65,40513.17374,67196.364,60.84769,1434.51834,711.8005745
24/05/2024,67969.66,69250,66600.12,68549.99,28095.83664,67893.614,68.56583,1458.20892,861.0822429
25/05/2024,68549.99,69610,68500,69290.57,12130.39418,68202.021,69.60641,1519.22975,992.7117449
26/05/2024,69290.56,69562.23,68128.01,68507.67,11872.11797,68529.267,66.17528,1487.27138,1091.623672
27/05/2024,68507.67,70687.56,68250,69436.43,23136.92737,68770.51,65.33328,1519.37292,1177.173522
28/05/2024,69436.43,69591.81,67277.91,68398.39,32622.97042,68918.829,66.3498,1444.40231,1230.619279
29/05/2024,68398.4,68935.68,67124.65,67652.42,23159.83149,69056.67,54.25866,1309.69664,1246.434751
30/05/2024,67652.41,69500,67128,68352.17,28478.2184,68747.225,59.32959,1245.0532,1246.158441
31/05/2024,68352.17,69044.1,66670,67540.01,26690.32184,68486.392,51.64041,1115.43031,1220.012814
01/06/2024,67540.01,67900,67428.44,67766.85,8837.66133,68346.415,52.68725,1019.25795,1179.861841
02/06/2024,67766.84,68460,67257.47,67765.63,15426.32529,68326.013,54.90466,932.19644,1130.32876
03/06/2024,67765.62,70288,67612.48,68809.9,29633.374,68352.004,38.09908,936.66612,1091.596232
04/06/2024,68809.89,71063.45,68567.32,70537.84,29619.78489,68476.731,51.69238,1067.33512,1086.744009
05/06/2024,70537.83,71758,70383.66,71108,28703.18082,68736.764,58.74819,1203.0306,1110.001326
06/06/2024,71108,71700,70117.64,70799.06,21842.00449,68873.027,63.85896,1270.99018,1142.199098
07/06/2024,70799.06,71997.02,68420,69355.6,35598.45045,68968.748,53.63838,1194.60285,1152.679849
08/06/2024,69355.6,69582.2,69168.02,69310.46,9773.82967,69134.552,50.09585,1117.5406,1145.652
09/06/2024,69310.46,69857.14,69130.24,69648.14,9890.56709,69264.149,55.74236,1071.36613,1130.794826
10/06/2024,69648.15,70195.94,69172.29,69540,17122.66941,69464.148,50.56846,1014.3537,1107.5066
11/06/2024,69540,69590.01,66051,67314.24,41436.01588,69418.887,44.73582,780.57274,1042.119829
12/06/2024,67314.23,69999,66905,68263.99,37175.32356,69468.723,52.9119,664.27915,966.551692
13/06/2024,68263.98,68449.3,66251.78,66773.01,29079.55571,69265.034,43.00789,446.65722,862.5727975
14/06/2024,66773.01,67370.24,65078,66043.99,28408.18797,68815.649,43.32688,212.91016,732.6402695
15/06/2024,66043.99,66478.48,65857.1,66228.25,11451.80242,68327.674,43.11078,42.04747,594.5217101
16/06/2024,66228.25,66998.7,66034.5,66676.87,9392.52223,67915.455,45.31277,-56.51113,464.3151428
17/06/2024,66676.86,67298.81,65130,66504.33,27386.16851,67630.328,39.26882,-146.84928,342.0822591
18/06/2024,66504.33,66588.23,64060,65175.32,42350.10244,67216.814,24.07773,-321.97142,209.2715226
19/06/2024,65175.32,65727.54,64666,64974.37,20060.79576,66749.437,19.25268,-471.53639,73.10993913
20/06/2024,64974.37,66482.94,64559.15,64869.99,24265.29031,66282.436,19.65579,-591.6699,-59.84602937
21/06/2024,64869.99,65066.66,63379.35,64143.56,25993.56442,65965.368,21.21266,-736.99775,-195.2763741
22/06/2024,64143.56,64546.81,63943.82,64262.01,7308.95542,65565.17,22.3402,-833.01077,-322.8232526
23/06/2024,64262.01,64521,63178.32,63210.01,8224.45447,65208.87,17.28689,-982.66187,-454.7909751
24/06/2024,63210.01,63369.8,58402,60293.3,52161.35414,64633.801,13.44848,-1321.38347,-628.1094748
25/06/2024,60293.3,62420,60257.06,61806.01,31189.24361,64191.577,26.92561,-1451.03313,-792.6942053
26/06/2024,61806.01,62487.81,60712,60864.99,22485.66463,63610.389,18.98235,-1611.14162,-956.3836891
